"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2025-06-25","74.8","-2.19","3.57","Jacob, Alek",641521,689690,,"swinging_strike",,,,,9,"Edwin Díaz strikes out swinging.","R","R","R","ELP","SUG","S",,,0,1,2025,"-1.46","0.01","0.3","1.73",665846,,805672,0,7,"Top",,,,,,,7.82290414516155,-108.55019197360171,3.4625840831873527,-12.866944998051054,18.394681868195896,-32.952271986499724,"3.25","1.64",,,,"76",2241,"7.2",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.27",,,,,,,,65,2,"Changeup",12,8,8,12,8,12,8,12,"Standard","Strategic",281,"0","-0.081",,,,"0.081",,4,-4,"0.856","0.144",27,29,27,30,1,3,,,,,"4.08","1.46","1.46",,,,,,
"CH","2025-06-25","75.1","-2.23","3.66","Jacob, Alek",641521,689690,,"foul",,,,,8,"Edwin Díaz strikes out swinging.","R","R","R","ELP","SUG","S",,,0,0,2025,"-1.49","0.01","-0.01","1.9",665846,,805672,0,7,"Top",,,,,,,7.367620026198063,-109.04548039826236,3.583323806404773,-13.183776747435763,18.980341154206208,-32.964010466401724,"3.25","1.64",6,"72.6",-18,"76.3",2124,"7.2",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.28",,,,,,,,65,1,"Changeup",12,8,8,12,8,12,8,12,"Standard","Strategic",275,"0","-0.069",,,,"0.069","88.0",4,-4,"0.856","0.144",27,29,27,30,1,3,,,,,"4.04","1.49","1.49",,,,,,
"SI","2025-06-25","85.7","-2.41","3.69","Jacob, Alek",805672,689690,"single","hit_into_play",,,,,5,"Collin Price singles on a soft fly ball to right fielder Yonathan Perlaza. Jesús Bastidas to 3rd.","R","R","R","ELP","SUG","X",9,"fly_ball",2,1,2025,"-1.74","0.32","-0.24","2.73",,665846,,0,7,"Top",141.71,105.75,,,,,8.7982508426005,-124.50546753699179,3.443796065281114,-19.827276607009736,24.624766696930696,-29.740126352801834,"3.42","1.73",238,"71.6",30,"87.3",2279,"7.3",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.15",0.714,0.655,"0.9",1,1,0,4,64,4,"Sinker",12,8,8,12,8,12,8,12,"Standard","Strategic",246,"-0.055","0.482",,,0.771,"-0.482","88.0",4,-4,"0.911","0.089",27,25,27,26,1,3,,,,,"2.78","1.74","1.74",,,,,,
"SI","2025-06-25","84.9","-2.16","3.69","Jacob, Alek",805672,689690,,"called_strike",,,,,8,"Collin Price singles on a soft fly ball to right fielder Yonathan Perlaza. Jesús Bastidas to 3rd.","R","R","R","ELP","SUG","S",,,2,0,2025,"-1.49","0.3","-0.18","1.66",,665846,,0,7,"Top",,,,,,,7.780313401304008,-123.54829054311452,0.9506440291244885,-16.747267397410216,22.199874492667888,-29.468363994378144,"3.42","1.73",,,,"87.1",2290,"7.4",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.05",,,,,,,,64,3,"Sinker",12,8,8,12,8,12,8,12,"Standard","Strategic",247,"0","-0.11",,,,"0.11",,4,-4,"0.911","0.089",27,25,27,26,1,3,,,,,"2.84","1.49","1.49",,,,,,
"CH","2025-06-25","75.1","-2.41","3.5","Jacob, Alek",805672,689690,,"ball",,,,,13,"Collin Price singles on a soft fly ball to right fielder Yonathan Perlaza. Jesús Bastidas to 3rd.","R","R","R","ELP","SUG","B",,,1,0,2025,"-1.57","-0.08","-1.57","1.66",,665846,,0,7,"Top",,,,,,,4.626438593072978,-109.20201045220355,3.5987773299724486,-13.372452095416014,18.944566525034084,-33.703746054226954,"3.42","1.73",,,,"76.6",2198,"7.4",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.14",,,,,,,,64,2,"Changeup",12,8,8,12,8,12,8,12,"Standard","Strategic",275,"0","0.1",,,,"-0.1",,4,-4,"0.911","0.089",27,25,27,26,1,3,,,,,"4.13","1.57","1.57",,,,,,
"CH","2025-06-25","73.8","-2.39","3.55","Jacob, Alek",805672,689690,,"ball",,,,,13,"Collin Price singles on a soft fly ball to right fielder Yonathan Perlaza. Jesús Bastidas to 3rd.","R","R","R","ELP","SUG","B",,,0,0,2025,"-1.83","0.02","-1.24","1.8",,665846,,0,7,"Top",,,,,,,5.666637305457157,-107.26036751169562,3.7911871409853006,-15.139461928528874,17.924568358637245,-32.917343543303026,"3.42","1.73",,,,"75.3",2158,"7.4",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.1",,,,,,,,64,1,"Changeup",12,8,8,12,8,12,8,12,"Standard","Strategic",278,"0","0.049",,,,"-0.049",,4,-4,"0.911","0.089",27,25,27,26,1,3,,,,,"4.17","1.83","1.83",,,,,,
"FF","2025-06-25","85.9","-2.35","3.83","Jacob, Alek",665846,689690,"double","hit_into_play",,,,,5,"Jesús Bastidas doubles (21) on a line drive to center fielder Forrest Wall.","R","R","R","ELP","SUG","X",8,"line_drive",1,0,2025,"-1.3","0.94","-0.26","2.35",,,,0,7,"Top",96.31,73.34,,,,,7.808282847922406,-124.87150970057859,0.9253539427539469,-15.158185700562457,25.74162410615709,-22.812772495757574,"3.07","1.55",321,"88.1",25,"88.2",2349,"7.8",780145,660710,670148,687867,670712,669200,641796,657088,666632,"52.68",0.12,0.138,"1.25",1,1,1,3,63,2,"4-Seam Fastball",12,8,8,12,8,12,8,12,"Standard","Strategic",238,"-0.036","0.66",,,0.203,"-0.66","88.1",4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"2.16","1.3","1.3",,,,,,
"FF","2025-06-25","87.3","-2.1","3.7","Jacob, Alek",665846,689690,,"ball",,,,,9,"Jesús Bastidas doubles (21) on a line drive to center fielder Forrest Wall.","R","R","R","ELP","SUG","B",,,0,0,2025,"-0.74","0.72","0.74","1.6",,,,0,7,"Top",,,,,,,8.51377841099119,-126.89407206359367,-0.4155910218558843,-9.691361443357714,23.80965957580739,-24.50739088160963,"3.07","1.55",,,,"89",2436,"7.2",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.26",,,,,,,,63,1,"4-Seam Fastball",12,8,8,12,8,12,8,12,"Standard","Standard",241,"0","0.068",,,,"-0.068",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"2.26","0.74","0.74",,,,,,
"FF","2025-06-25","85.1","-3.65","3.78","Jacob, Alek",572138,689690,"home_run","hit_into_play",,,,,1,"Jon Singleton homers (1) on a fly ball to right center field.","R","L","R","ELP","SUG","X",,"fly_ball",0,1,2025,"-1.23","0.9","-0.65","3.08",,,,0,7,"Top",203.39,63.42,,,,,9.593952002207724,-123.55374226032099,2.918689569490682,-14.52828460108621,23.74096637012112,-23.760585734755367,"3.3","1.66",385,"100.3",37,"86.1",2298,"6.9",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.55",0.274,0.535,"2",1,0,3,5,62,2,"4-Seam Fastball",12,7,7,12,8,12,8,12,"Infield shade","Strategic",240,"-0.025","1.184",,,1.049,"-1.184","100.3",5,-5,"0.972","0.028",27,33,27,34,1,3,,,,,"2.25","1.23","-1.23",,,,,,
"SI","2025-06-25","84.6","-3.55","3.49","Jacob, Alek",572138,689690,,"called_strike",,,,,4,"Jon Singleton homers (1) on a fly ball to right center field.","R","L","R","ELP","SUG","S",,,0,0,2025,"-1.02","0.44","-0.7","2.19",,,,0,7,"Top",,,,,,,8.765000465835822,-122.84741654294434,2.4814238696665076,-11.997830386439466,23.262726790006546,-28.42894282083275,"3.3","1.66",,,,"85.5",2292,"6.9",780145,660710,670148,687867,670712,669200,641796,657088,666632,"53.62",,,,,,,,62,1,"Sinker",12,7,7,12,7,12,7,12,"Infield shade","Strategic",250,"0","-0.07",,,,"0.07",,5,-5,"0.972","0.028",27,33,27,34,1,3,,,,,"2.75","1.02","-1.02",,,,,,
